expiration,T,daysToExpiry,type,exerciseType,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility
2026-05-27,0.030137,11,call,american,280.0,19.1,22.65,21.61,2.0,5.0,0.43897045410156255
2026-05-27,0.030137,11,call,american,287.5,12.55,15.4,16.0,1.0,,0.34570966796874997
2026-05-27,0.030137,11,call,american,290.0,10.5,13.4,14.0,38.0,4.0,0.3350286224365234
2026-05-27,0.030137,11,call,american,292.5,9.2,10.6,9.22,27.0,,0.27771718383789057
2026-05-27,0.030137,11,call,american,295.0,7.4,9.1,7.8,42.0,35.0,0.2849192602539062
2026-05-27,0.030137,11,call,american,297.5,5.75,7.35,6.1,88.0,,0.2722240747070312
2026-05-27,0.030137,11,call,american,300.0,4.5,5.25,4.78,147.0,207.0,0.23645783081054686
2026-05-27,0.030137,11,call,american,302.5,3.2,4.4,3.64,97.0,,0.25049577636718745
2026-05-27,0.030137,11,call,american,305.0,2.65,2.8,2.74,4581.0,258.0,0.21985643432617186
2026-05-27,0.030137,11,call,american,307.5,1.54,2.47,2.1,18.0,,0.24280542358398435
2026-05-27,0.030137,11,call,american,310.0,1.3,1.63,1.5,105.0,665.0,0.23072058349609376
2026-05-27,0.030137,11,call,american,312.5,0.83,1.24,1.64,69.0,,0.23657989990234374
2026-05-27,0.030137,11,call,american,315.0,0.58,0.93,0.65,332.0,63.0,0.24146266357421875
2026-05-27,0.030137,11,call,american,317.5,0.37,0.9,0.5,5.0,,0.26538820556640624
2026-05-27,0.030137,11,call,american,320.0,0.24,0.4,0.37,92.0,17.0,0.23633576171874998
2026-05-27,0.030137,11,call,american,322.5,0.1,0.47,0.2,511.0,,0.26782958740234375
2026-05-27,0.030137,11,call,american,325.0,0.11,0.3,0.18,13.0,28.0,0.26319096191406255
2026-05-29,0.035616,13,call,american,110.0,188.35,192.35,170.83,1.0,0.0,2.00781748046875
2026-05-29,0.035616,13,call,american,120.0,178.4,182.4,173.96,1.0,1.0,1.9179691601562503
2026-05-29,0.035616,13,call,american,185.0,113.5,117.05,113.71,1.0,6.0,0.914063359375
2026-05-29,0.035616,13,call,american,195.0,103.45,107.4,98.81,1.0,1.0,0.9785158398437501
2026-05-29,0.035616,13,call,american,200.0,98.55,102.1,94.61,10.0,87.0,0.8457046679687499
2026-05-29,0.035616,13,call,american,205.0,93.65,97.1,80.21,2.0,28.0,0.84179845703125
2026-05-29,0.035616,13,call,american,210.0,88.65,92.3,87.56,4.0,6.0,0.8535170898437501
2026-05-29,0.035616,13,call,american,215.0,83.65,86.9,79.0,1.0,6.0,0.65039412109375
2026-05-29,0.035616,13,call,american,220.0,78.65,82.45,71.9,3.0,32.0,0.7866232275390624
2026-05-29,0.035616,13,call,american,225.0,74.0,76.25,74.17,1.0,4.0,0.9084481811523437
2026-05-29,0.035616,13,call,american,230.0,68.85,72.2,70.85,2.0,6.0,0.6796907031250001
2026-05-29,0.035616,13,call,american,235.0,63.85,67.15,62.99,1.0,109.0,0.62305064453125
2026-05-29,0.035616,13,call,american,240.0,58.75,62.0,60.62,2.0,72.0,0.52539537109375
2026-05-29,0.035616,13,call,american,245.0,53.75,57.55,54.69,5.0,35.0,0.5722699023437501
2026-05-29,0.035616,13,call,american,250.0,49.1,52.0,50.1,7.0,380.0,0.72070591796875
2026-05-29,0.035616,13,call,american,255.0,44.0,46.3,46.9,6.0,685.0,0.5813030151367188
2026-05-29,0.035616,13,call,american,260.0,39.8,41.35,42.15,70.0,572.0,0.5327195166015625
2026-05-29,0.035616,13,call,american,265.0,34.85,36.8,36.23,61.0,1864.0,0.5239305419921875
2026-05-29,0.035616,13,call,american,270.0,29.95,31.4,31.85,9.0,2091.0,0.4282283740234375
2026-05-29,0.035616,13,call,american,275.0,25.1,26.55,27.0,42.0,1604.0,0.3859924682617187
2026-05-29,0.035616,13,call,american,277.5,22.15,25.65,23.9,8.0,26.0,0.471684970703125
2026-05-29,0.035616,13,call,american,280.0,20.75,21.95,20.96,158.0,2236.0,0.35864899169921877
2026-05-29,0.035616,13,call,american,282.5,17.8,19.9,18.75,21.0,61.0,0.3577945080566406
2026-05-29,0.035616,13,call,american,285.0,16.2,17.2,16.33,100.0,1538.0,0.3127510131835937
2026-05-29,0.035616,13,call,american,287.5,13.85,15.0,14.2,189.0,29.0,0.2974923767089843
2026-05-29,0.035616,13,call,american,290.0,12.0,12.8,12.59,1074.0,4387.0,0.27893787475585935
2026-05-29,0.035616,13,call,american,292.5,10.1,10.8,10.51,571.0,186.0,0.26697510375976563
2026-05-29,0.035616,13,call,american,295.0,8.4,8.95,8.68,1389.0,4822.0,0.2569654382324219
2026-05-29,0.035616,13,call,american,297.5,6.8,7.35,7.2,379.0,551.0,0.25196060546875
2026-05-29,0.035616,13,call,american,300.0,5.4,5.75,5.66,4555.0,12486.0,0.24024197265624997
2026-05-29,0.035616,13,call,american,302.5,4.2,4.55,4.25,2132.0,2037.0,0.23834990173339843
2026-05-29,0.035616,13,call,american,305.0,3.2,3.45,3.35,1862.0,3598.0,0.23303989624023438
2026-05-29,0.035616,13,call,american,307.5,2.12,2.63,2.53,422.0,307.0,0.23255161987304687
2026-05-29,0.035616,13,call,american,310.0,1.77,1.87,1.86,4981.0,3086.0,0.2269364416503906
2026-05-29,0.035616,13,call,american,312.5,1.26,1.49,1.28,812.0,,0.23474886352539062
2026-05-29,0.035616,13,call,american,315.0,0.95,1.04,0.99,925.0,1444.0,0.23169713623046873
2026-05-29,0.035616,13,call,american,317.5,0.69,0.91,0.74,112.0,,0.24658956542968752
2026-05-29,0.035616,13,call,american,320.0,0.51,0.56,0.54,1439.0,2351.0,0.23706817626953125
2026-05-29,0.035616,13,call,american,322.5,0.32,0.47,0.4,278.0,,0.24781025634765624
2026-05-29,0.035616,13,call,american,325.0,0.29,0.34,0.31,1044.0,2037.0,0.2500075
2026-05-29,0.035616,13,call,american,327.5,0.2,0.31,0.23,60.0,,0.26392337646484376
2026-05-29,0.035616,13,call,american,330.0,0.15,0.2,0.18,192.0,1056.0,0.2602613037109375
2026-06-05,0.054795,20,call,american,120.0,178.45,182.5,162.9,2.0,2.0,1.6386736816406249
2026-06-05,0.054795,20,call,american,175.0,123.55,127.6,108.31,1.0,1.0,1.056645341796875
2026-06-05,0.054795,20,call,american,185.0,113.55,117.65,113.83,1.0,2.0,0.9687503125
2026-06-05,0.054795,20,call,american,195.0,103.7,107.7,96.5,1.0,1.0,0.9082040429687499
2026-06-05,0.054795,20,call,american,210.0,88.75,92.7,88.85,2.0,14.0,0.7773459765625
2026-06-05,0.054795,20,call,american,215.0,83.7,87.75,83.91,3.0,4.0,0.7329128271484374
2026-06-05,0.054795,20,call,american,220.0,78.7,82.8,73.63,6.0,26.0,0.6953155468750001
2026-06-05,0.054795,20,call,american,230.0,68.85,72.85,69.04,2.0,136.0,0.629886513671875
2026-06-05,0.054795,20,call,american,235.0,63.95,67.85,64.24,30.0,10.0,0.59570716796875
2026-06-05,0.054795,20,call,american,240.0,58.95,62.95,59.44,43.0,61.0,0.5607954077148438
2026-06-05,0.054795,20,call,american,245.0,54.0,57.85,54.46,13.0,17.0,0.5144091528320311
2026-06-05,0.054795,20,call,american,250.0,49.05,53.0,52.14,17.0,132.0,0.6685824157714846
2026-06-05,0.054795,20,call,american,255.0,44.25,47.7,44.05,1.0,140.0,0.5943644079589845
2026-06-05,0.054795,20,call,american,260.0,40.0,42.6,41.52,20.0,312.0,0.5358933129882812
2026-06-05,0.054795,20,call,american,265.0,34.6,37.95,38.32,4.0,106.0,0.5073291455078125
2026-06-05,0.054795,20,call,american,270.0,29.95,32.95,31.91,40.0,1367.0,0.4545952978515625
2026-06-05,0.054795,20,call,american,275.0,25.2,27.15,26.6,20.0,628.0,0.3548648498535155
2026-06-05,0.054795,20,call,american,280.0,21.05,22.45,21.74,103.0,2166.0,0.32117378051757806
2026-06-05,0.054795,20,call,american,285.0,17.15,18.0,17.67,83.0,1719.0,0.29444064941406245
2026-06-05,0.054795,20,call,american,290.0,13.15,13.9,13.6,196.0,1477.0,0.2738109729003906
2026-06-05,0.054795,20,call,american,295.0,9.65,10.25,10.02,295.0,3512.0,0.25775888732910157
2026-06-05,0.054795,20,call,american,300.0,6.75,7.25,7.02,1662.0,3573.0,0.24842060180664063
2026-06-05,0.054795,20,call,american,305.0,4.5,4.8,4.7,1852.0,6232.0,0.2391433508300781
2026-06-05,0.054795,20,call,american,310.0,2.67,3.1,2.97,847.0,12337.0,0.2368240380859375
2026-06-05,0.054795,20,call,american,315.0,1.6,1.91,1.85,569.0,3993.0,0.23548127807617186
2026-06-05,0.054795,20,call,american,320.0,1.0,1.19,1.07,343.0,2159.0,0.23902128173828124
2026-06-05,0.054795,20,call,american,325.0,0.6,0.7,0.66,717.0,957.0,0.2406081799316406
2026-06-05,0.054795,20,call,american,330.0,0.38,0.45,0.43,260.0,784.0,0.2485426708984375
2026-06-05,0.054795,20,call,american,335.0,0.24,0.3,0.28,326.0,232.0,0.257819921875
2026-06-05,0.054795,20,call,american,340.0,0.14,0.31,0.19,6.0,248.0,0.28711650390624993
2026-06-05,0.054795,20,call,american,345.0,0.1,0.16,0.12,470.0,112.0,0.282233740234375
2026-06-12,0.073973,27,call,american,180.0,118.7,122.85,120.72,1.0,0.0,0.9355475195312499
2026-06-12,0.073973,27,call,american,195.0,103.85,107.85,107.69,1.0,1.0,0.823243955078125
2026-06-12,0.073973,27,call,american,200.0,98.9,102.85,86.0,2.0,2.0,0.7866232275390624
2026-06-12,0.073973,27,call,american,220.0,79.05,82.95,75.29,20.0,23.0,0.6467320483398438
2026-06-12,0.073973,27,call,american,230.0,69.1,73.1,60.5,1.0,3.0,0.5822795678710937
2026-06-12,0.073973,27,call,american,235.0,64.2,68.15,58.55,8.0,33.0,0.55273884765625
2026-06-12,0.073973,27,call,american,240.0,59.2,63.2,62.87,1.0,4.0,0.516606396484375
2026-06-12,0.073973,27,call,american,245.0,54.45,58.1,49.43,1.0,2.0,0.6315954809570312
2026-06-12,0.073973,27,call,american,250.0,49.5,52.85,51.25,1.0,82.0,0.569340244140625
2026-06-12,0.073973,27,call,american,255.0,44.6,47.6,41.15,4.0,17.0,0.5083056982421875
2026-06-12,0.073973,27,call,american,260.0,39.95,43.15,43.69,24.0,67.0,0.49609878906250005
2026-06-12,0.073973,27,call,american,265.0,35.8,38.35,37.72,4.0,197.0,0.46057668334960944
2026-06-12,0.073973,27,call,american,270.0,30.95,32.75,31.6,16.0,161.0,0.3833069482421875
2026-06-12,0.073973,27,call,american,275.0,25.95,28.4,28.19,17.0,664.0,0.36865865722656255
2026-06-12,0.073973,27,call,american,280.0,22.05,23.65,23.03,98.0,397.0,0.3309393078613281
2026-06-12,0.073973,27,call,american,285.0,18.35,19.1,18.88,466.0,1343.0,0.2979196185302734
2026-06-12,0.073973,27,call,american,290.0,14.55,15.05,15.05,118.0,1482.0,0.2769237347412109
2026-06-12,0.073973,27,call,american,295.0,11.15,11.8,11.54,419.0,4305.0,0.27197993652343744
2026-06-12,0.073973,27,call,american,300.0,8.3,8.7,8.53,697.0,3513.0,0.25891854370117195
2026-06-12,0.073973,27,call,american,305.0,5.95,6.3,6.19,725.0,5334.0,0.2534254345703125
2026-06-12,0.073973,27,call,american,310.0,4.1,4.45,4.3,392.0,1610.0,0.2507399145507812
2026-06-12,0.073973,27,call,american,315.0,2.77,3.05,2.89,599.0,3165.0,0.249030947265625
2026-06-12,0.073973,27,call,american,320.0,1.73,2.04,1.95,432.0,4263.0,0.2485426708984375
2026-06-12,0.073973,27,call,american,325.0,1.08,1.37,1.39,944.0,816.0,0.2507399145507812
2026-06-12,0.073973,27,call,american,330.0,0.79,0.93,0.87,515.0,1212.0,0.25489026367187506
2026-06-12,0.073973,27,call,american,335.0,0.53,0.64,0.67,215.0,425.0,0.2602613037109375
2026-06-12,0.073973,27,call,american,340.0,0.22,0.47,0.42,53.0,289.0,0.2691723474121094
2026-06-12,0.073973,27,call,american,345.0,0.13,0.36,0.33,109.0,92.0,0.2795482202148437
2026-06-12,0.073973,27,call,american,350.0,0.09,0.25,0.22,47.0,127.0,0.2846751220703124
2026-06-18,0.090411,33,call,american,5.0,293.45,296.8,297.55,3.0,0.0,8.88672319580078
2026-06-18,0.090411,33,call,american,10.0,288.45,292.2,283.39,1.0,0.0,4.3281295898437495
2026-06-18,0.090411,33,call,american,15.0,283.3,287.25,278.71,3.0,0.0,3.4843762890625003
2026-06-18,0.090411,33,call,american,20.0,183.05,186.3,178.5,1.0,7.0,1.0000000000000003e-05
2026-06-18,0.090411,33,call,american,25.0,273.5,277.25,266.37,2.0,2.0,3.2304706738281244
2026-06-18,0.090411,33,call,american,30.0,238.35,242.05,225.32,1.0,5.0,1.0000000000000003e-05
2026-06-18,0.090411,33,call,american,35.0,263.55,267.3,256.52,3.0,3.0,2.8750028125
2026-06-18,0.090411,33,call,american,45.0,213.65,216.85,201.3,1.0,3.0,1.0000000000000003e-05
2026-06-18,0.090411,33,call,american,50.0,249.1,252.3,246.45,2.0,9.0,2.67969080078125
2026-06-18,0.090411,33,call,american,55.0,243.6,247.35,238.7,1.0,12.0,2.328129179687499
2026-06-18,0.090411,33,call,american,65.0,233.7,237.4,236.44,10.0,11.0,2.1738326904296876
2026-06-18,0.090411,33,call,american,70.0,228.65,232.35,202.94,2.0,121.0,2.0273486816406248
2026-06-18,0.090411,33,call,american,75.0,223.5,227.4,198.6,1.0,221.0,1.8847662011718749
2026-06-18,0.090411,33,call,american,80.0,218.7,222.45,192.87,2.0,226.0,1.9062504687500001
2026-06-18,0.090411,33,call,american,90.0,208.8,212.4,184.23,2.0,1660.0,1.7587902685546877
2026-06-18,0.090411,33,call,american,95.0,203.75,207.45,195.9,1.0,307.0,1.68359533203125
2026-06-18,0.090411,33,call,american,100.0,198.95,202.6,201.45,5.0,2046.0,1.703126484375
2026-06-18,0.090411,33,call,american,105.0,193.8,197.55,171.37,2.0,104.0,1.584963012695312
2026-06-18,0.090411,33,call,american,110.0,188.8,192.55,181.03,2.0,145.0,1.5185570947265623
2026-06-18,0.090411,33,call,american,115.0,183.85,187.35,184.98,3.0,233.0,1.4189482177734376
2026-06-18,0.090411,33,call,american,120.0,178.85,182.6,181.15,1.0,367.0,1.4179716601562502
2026-06-18,0.090411,33,call,american,125.0,173.9,177.55,176.5,3.0,140.0,1.359378203125
2026-06-18,0.090411,33,call,american,130.0,168.9,172.6,164.0,1.0,181.0,1.3125034374999998
2026-06-18,0.090411,33,call,american,135.0,163.9,167.45,163.75,1.0,619.0,1.2294960400390624
2026-06-18,0.090411,33,call,american,140.0,159.35,162.8,161.38,3.0,452.0,1.302249582519531
2026-06-18,0.090411,33,call,american,145.0,153.95,157.7,149.04,2.0,234.0,1.1796916015624999
2026-06-18,0.090411,33,call,american,150.0,149.0,152.6,150.0,5.0,832.0,1.1220747021484376
2026-06-18,0.090411,33,call,american,155.0,144.05,147.25,142.98,1.0,528.0,1.0253954980468751
2026-06-18,0.090411,33,call,american,160.0,139.1,142.5,142.2,48.0,1133.0,1.027836892089844
2026-06-18,0.090411,33,call,american,165.0,134.1,137.3,136.7,3.0,594.0,0.954102021484375
2026-06-18,0.090411,33,call,american,170.0,129.35,132.25,131.75,1.0,1795.0,0.9389654541015625
2026-06-18,0.090411,33,call,american,175.0,124.1,127.45,125.7,22.0,395.0,0.8901378173828124
2026-06-18,0.090411,33,call,american,180.0,119.3,122.75,121.0,3.0,1474.0,0.90429783203125
2026-06-18,0.090411,33,call,american,185.0,114.3,117.6,117.7,2.0,1206.0,0.8471694970703124
2026-06-18,0.090411,33,call,american,190.0,109.7,112.75,112.5,14.0,3996.0,0.8549819189453125
2026-06-18,0.090411,33,call,american,195.0,104.25,107.5,107.86,1.0,2388.0,0.75195560546875
2026-06-18,0.090411,33,call,american,200.0,99.3,102.55,102.3,13.0,6219.0,0.7231472998046875
2026-06-18,0.090411,33,call,american,205.0,94.45,97.65,93.25,1.0,3678.0,0.7060576269531251
2026-06-18,0.090411,33,call,american,210.0,89.85,92.9,92.8,39.0,5314.0,0.7131376342773439
2026-06-18,0.090411,33,call,american,215.0,85.2,87.55,88.0,31.0,3937.0,0.6738313867187502
2026-06-18,0.090411,33,call,american,220.0,80.25,82.6,82.2,10.0,7520.0,0.6408727319335938
2026-06-18,0.090411,33,call,american,225.0,75.05,76.35,76.65,4.0,6587.0,0.5034229345703125
2026-06-18,0.090411,33,call,american,230.0,70.35,72.55,71.2,39.0,9433.0,0.5675092077636719
2026-06-18,0.090411,33,call,american,235.0,65.85,67.85,68.16,16.0,6453.0,0.5664105859375
2026-06-18,0.090411,33,call,american,240.0,60.55,62.75,63.21,10.0,6062.0,0.5112353564453125
2026-06-18,0.090411,33,call,american,245.0,55.6,58.1,58.44,2.0,3785.0,0.5731243859863282
2026-06-18,0.090411,33,call,american,250.0,50.85,53.0,50.9,189.0,16810.0,0.52539537109375
2026-06-18,0.090411,33,call,american,255.0,45.8,48.15,46.79,35.0,6902.0,0.49207050903320315
2026-06-18,0.090411,33,call,american,260.0,41.45,42.5,42.25,146.0,20205.0,0.4155331884765625
2026-06-18,0.090411,33,call,american,265.0,36.7,37.85,39.06,107.0,10187.0,0.3936828210449219
2026-06-18,0.090411,33,call,american,270.0,32.05,33.1,32.12,298.0,25032.0,0.36414210083007814
2026-06-18,0.090411,33,call,american,275.0,27.35,28.65,27.65,635.0,19160.0,0.34479414978027345
2026-06-18,0.090411,33,call,american,280.0,23.15,24.05,23.5,1484.0,41905.0,0.315314464111328
2026-06-18,0.090411,33,call,american,285.0,19.05,19.8,19.48,566.0,19323.0,0.29395237304687494
2026-06-18,0.090411,33,call,american,290.0,15.3,15.8,15.56,2634.0,29841.0,0.27423821472167964
2026-06-18,0.090411,33,call,american,295.0,11.75,12.4,12.2,2098.0,23935.0,0.26380130737304686
2026-06-18,0.090411,33,call,american,300.0,9.05,9.4,9.3,29801.0,84599.0,0.2540968145751954
2026-06-18,0.090411,33,call,american,305.0,6.7,7.0,6.85,4345.0,14366.0,0.2493971545410156
2026-06-18,0.090411,33,call,american,310.0,4.8,5.05,4.9,9757.0,40421.0,0.24536887451171874
2026-06-18,0.090411,33,call,american,315.0,3.35,3.55,3.5,8268.0,11025.0,0.24274438903808593
2026-06-18,0.090411,33,call,american,320.0,2.31,2.47,2.43,4306.0,20327.0,0.24250025085449217
2026-06-18,0.090411,33,call,american,325.0,1.6,1.72,1.65,2762.0,5246.0,0.24439232177734377
2026-06-18,0.090411,33,call,american,330.0,1.09,1.15,1.14,1903.0,8957.0,0.2447585290527344
2026-06-18,0.090411,33,call,american,335.0,0.76,0.86,0.81,738.0,2209.0,0.252937158203125
2026-06-18,0.090411,33,call,american,340.0,0.53,0.59,0.57,1721.0,9656.0,0.25586681640625003
2026-06-18,0.090411,33,call,american,345.0,0.34,0.48,0.44,552.0,4642.0,0.26782958740234375
2026-06-18,0.090411,33,call,american,350.0,0.29,0.34,0.33,4479.0,9146.0,0.27197993652343744
2026-06-18,0.090411,33,call,american,355.0,0.13,0.27,0.24,97.0,118.0,0.28125718749999995
2026-06-18,0.090411,33,call,american,360.0,0.14,0.2,0.2,111.0,4767.0,0.2868723657226562
2026-06-26,0.112329,41,call,american,215.0,84.45,88.35,88.2,21.0,1.0,0.6088906298828126
2026-06-26,0.112329,41,call,american,220.0,79.55,83.4,82.1,1.0,61.0,0.5815471533203125
2026-06-26,0.112329,41,call,american,255.0,45.55,48.65,46.6,1.0,6.0,0.46619186157226566
2026-06-26,0.112329,41,call,american,260.0,40.9,44.05,39.15,5.0,54.0,0.44434149414062496
2026-06-26,0.112329,41,call,american,265.0,36.7,38.65,39.7,16.0,12.0,0.3885559191894531
2026-06-26,0.112329,41,call,american,270.0,32.1,33.85,33.09,77.0,81.0,0.3572451971435546
2026-06-26,0.112329,41,call,american,275.0,27.65,29.3,28.22,15.0,147.0,0.3333196551513672
2026-06-26,0.112329,41,call,american,280.0,23.5,25.3,24.22,18.0,129.0,0.32379826599121087
2026-06-26,0.112329,41,call,american,285.0,19.55,20.9,20.32,44.0,72.0,0.29682099670410156
2026-06-26,0.112329,41,call,american,290.0,15.95,17.05,16.27,47.0,314.0,0.2805247729492187
2026-06-26,0.112329,41,call,american,295.0,12.2,14.35,13.04,125.0,341.0,0.2867502966308593
2026-06-26,0.112329,41,call,american,300.0,9.8,10.6,10.0,592.0,1099.0,0.25818612915039063
2026-06-26,0.112329,41,call,american,305.0,7.3,8.15,7.8,682.0,1351.0,0.2530592272949219
2026-06-26,0.112329,41,call,american,310.0,5.6,6.1,5.87,3584.0,3320.0,0.2483595672607422
2026-06-26,0.112329,41,call,american,315.0,4.0,4.5,4.27,234.0,823.0,0.2459181854248047
2026-06-26,0.112329,41,call,american,320.0,2.8,3.2,3.0,1457.0,472.0,0.24250025085449217
2026-06-26,0.112329,41,call,american,325.0,2.05,2.42,2.25,107.0,359.0,0.2472609454345703
2026-06-26,0.112329,41,call,american,330.0,1.45,1.69,1.6,69.0,265.0,0.2461012890625
2026-06-26,0.112329,41,call,american,335.0,1.03,1.33,1.12,30.0,182.0,0.25452405639648445
2026-06-26,0.112329,41,call,american,340.0,0.77,0.89,0.82,224.0,173.0,0.2523268127441406
2026-06-26,0.112329,41,call,american,345.0,0.51,0.68,0.59,114.0,45.0,0.2585523364257813
2026-06-26,0.112329,41,call,american,350.0,0.23,0.7,0.46,188.0,98.0,0.28076891113281244
2026-06-26,0.112329,41,call,american,355.0,0.25,0.38,0.39,157.0,42.0,0.26807372558593745
2026-06-26,0.112329,41,call,american,360.0,0.16,0.44,0.27,27.0,51.0,0.2934640966796874
2026-06-26,0.112329,41,call,american,370.0,0.09,0.25,0.16,112.0,421.0,0.3002999658203125
2026-07-17,0.169863,62,call,american,130.0,169.35,173.05,163.46,19.0,47.0,1.0649460815429688
2026-07-17,0.169863,62,call,american,135.0,164.35,168.1,158.33,62.0,75.0,1.0258837768554687
2026-07-17,0.169863,62,call,american,140.0,159.2,163.1,153.38,35.0,36.0,0.9704592797851561
2026-07-17,0.169863,62,call,american,145.0,154.3,158.2,148.38,5.0,16.0,0.9470220141601562
2026-07-17,0.169863,62,call,american,150.0,149.3,153.2,143.9,2.0,11.0,0.9077157666015624
2026-07-17,0.169863,62,call,american,160.0,139.6,143.3,141.25,46.0,36.0,0.8601088208007812
2026-07-17,0.169863,62,call,american,165.0,134.55,138.4,133.83,1.0,434.0,0.8264177514648436
2026-07-17,0.169863,62,call,american,170.0,129.65,133.35,129.28,2.0,78.0,0.7934590966796875
2026-07-17,0.169863,62,call,american,175.0,124.75,128.4,126.27,20.0,78.0,0.7668480346679689
2026-07-17,0.169863,62,call,american,180.0,119.75,123.45,113.65,2.0,789.0,0.7351100708007812
2026-07-17,0.169863,62,call,american,185.0,115.1,118.65,107.82,12.0,343.0,0.7282742016601562
2026-07-17,0.169863,62,call,american,190.0,110.4,113.3,88.61,5.0,898.0,0.6921417504882813
2026-07-17,0.169863,62,call,american,195.0,105.45,108.5,104.93,1.0,1822.0,0.6696810375976563
2026-07-17,0.169863,62,call,american,200.0,100.75,103.55,104.0,7.0,368.0,0.6506382592773439
2026-07-17,0.169863,62,call,american,205.0,95.1,97.85,87.75,1.0,3359.0,0.5625043750000001
2026-07-17,0.169863,62,call,american,210.0,90.95,93.85,82.95,12.0,3114.0,0.6032754516601564
2026-07-17,0.169863,62,call,american,215.0,85.9,88.75,84.35,12.0,1825.0,0.5664105859375
2026-07-17,0.169863,62,call,american,220.0,81.15,83.6,82.65,12.0,2525.0,0.538212625732422
2026-07-17,0.169863,62,call,american,225.0,76.15,78.6,77.1,1.0,490.0,0.5072070764160157
2026-07-17,0.169863,62,call,american,230.0,71.4,73.8,70.77,7.0,579.0,0.5487716021728517
2026-07-17,0.169863,62,call,american,235.0,66.5,68.95,69.55,8.0,706.0,0.5221605401611327
2026-07-17,0.169863,62,call,american,240.0,61.65,63.85,63.15,63.0,1354.0,0.4849905017089844
2026-07-17,0.169863,62,call,american,245.0,57.15,59.1,55.55,20.0,1247.0,0.4622856506347657
2026-07-17,0.169863,62,call,american,250.0,52.15,54.2,53.4,21.0,3556.0,0.43329424133300787
2026-07-17,0.169863,62,call,american,255.0,47.4,49.45,48.61,45.0,4307.0,0.40930766479492187
2026-07-17,0.169863,62,call,american,260.0,42.95,44.35,43.4,57.0,20427.0,0.37293107543945314
2026-07-17,0.169863,62,call,american,265.0,38.35,40.25,38.95,85.0,3985.0,0.3676821044921875
2026-07-17,0.169863,62,call,american,270.0,33.9,35.25,34.65,196.0,5540.0,0.3331975860595704
2026-07-17,0.169863,62,call,american,275.0,29.8,30.65,30.21,131.0,9936.0,0.30914997497558594
2026-07-17,0.169863,62,call,american,280.0,25.9,27.0,26.3,368.0,41025.0,0.30652548950195313
2026-07-17,0.169863,62,call,american,285.0,21.85,22.95,22.22,424.0,8896.0,0.28967995483398434
2026-07-17,0.169863,62,call,american,290.0,18.6,19.15,18.88,1460.0,15340.0,0.2744518356323242
2026-07-17,0.169863,62,call,american,295.0,15.35,15.85,15.62,19693.0,48307.0,0.2650219982910156
2026-07-17,0.169863,62,call,american,300.0,12.55,12.85,12.81,4145.0,31256.0,0.25608043731689456
2026-07-17,0.169863,62,call,american,305.0,10.05,10.5,10.23,3558.0,16446.0,0.2541578491210938
